Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Corruption Index,Terrorism Index,Gini Index,Trade in Services,Inflation,Urban Population,Total,Fragile State
South Sudan,2020,1st,9.4,9.7,9.1,9.5,9.2,6.8,9.9,9.5,9,9.5,9.7,9.5,8.8,5.73,4.4,9.1,9.7,8,104.3533339,Alert
Yemen,2020,2nd,9.7,10,9.7,9.4,7.8,7,9.9,9.5,10,9.8,9.7,10,8.5,7.58,3.8,9.1,8.1,6.2,103.8533339,Alert
Somalia,2020,3rd,9.8,10,8.6,9.1,9.4,8.9,8.9,9.1,9,10,9.1,9,8.8,7.65,3.6,7.9,9.3,5.4,102.3666672,Alert
Syria,2020,4th,9.9,9.9,10,8.7,7.2,8.4,10,9.1,10,7.6,10,10,8.6,7.78,3.7,8.3,8.6,4.5,101.5200005,Alert
Central African Republic,2020,5th,8.3,9.7,8,8.4,9.9,6.8,8.9,10,9.2,8.8,10,9.5,7.4,6.24,5.6,8.3,8.4,5.8,99.49333383,Alert
Afghanistan,2020,6th,9.9,8.9,7.5,8.3,7.7,7.5,9,9.5,7.6,9,9.3,8.6,8.1,9.59,2.7,9.09,8.9,7.4,99.05333383,Alert
Chad,2020,7th,9.2,9.5,8.3,8.5,8.9,8.4,9.3,9.4,8.5,9.6,9.2,7.7,7.9,4.83,4.3,7.9,8.6,7.6,98.42000049,Alert
Congo Democratic Republic,2020,8th,8.5,9.8,9.7,8,8.6,6.9,9.7,9.5,9.5,9.8,10,9.4,8.1,7.18,4.5,4.3,8,5.4,97.92000049,Alert
Sudan,2020,9th,8.4,9.4,9.4,8.1,8,8,9.3,8.3,8.9,9.1,9.3,8.6,8.4,5.4,3.4,9.14,9.1,6.5,97.82666716,Alert
Burundi,2020,10th,8.3,7.9,7.6,8.5,7.3,5.9,9.1,7.9,9.1,9.2,8.5,8.5,8.1,4.7,3.8,8.9,7.6,8.6,93.00000047,Alert
Nigeria,2020,11th,8.7,9.9,9.1,7.9,7.8,6.6,8.1,8.9,8.4,9.3,6.9,5.7,7.5,8.31,3.5,9.5,7.9,4.8,92.54000046,Alert
Zimbabwe,2020,12th,8.5,10,6.4,8.6,7.6,7,9.1,8.7,8.3,9.3,8.5,7.2,7.6,2.44,5,9.21,7.9,6.8,92.10000046,Alert
