Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fragile State
Yemen,2020,1st,112.4,9.7,10,9.7,9.4,7.8,7,9.9,9.5,10,9.8,9.7,10,Alert
Somalia,2020,2nd,110.9,9.8,10,8.6,9.1,9.4,8.9,8.9,9.1,9,10,9.1,9,Alert
South Sudan,2020,3rd,110.8,9.4,9.7,9.1,9.5,9.2,6.8,9.9,9.5,9,9.5,9.7,9.5,Alert
Syria,2020,4th,110.7,9.9,9.9,10,8.7,7.2,8.4,10,9.1,10,7.6,10,10,Alert
Congo Democratic Republic,2020,5th,109.4,8.5,9.8,9.7,8,8.6,6.9,9.7,9.5,9.5,9.8,10,9.4,Alert
Central African Republic,2020,6th,107.5,8.3,9.7,8,8.4,9.9,6.8,8.9,10,9.2,8.8,10,9.5,Alert
Chad,2020,7th,106.4,9.2,9.5,8.3,8.5,8.9,8.4,9.3,9.4,8.5,9.6,9.2,7.7,Alert
Sudan,2020,8th,104.8,8.4,9.4,9.4,8.1,8,8,9.3,8.3,8.9,9.1,9.3,8.6,Alert
Afghanistan,2020,9th,102.9,9.9,8.9,7.5,8.3,7.7,7.5,9,9.5,7.6,9,9.3,8.6,Alert
Zimbabwe,2020,10th,99.2,8.5,10,6.4,8.6,7.6,7,9.1,8.7,8.3,9.3,8.5,7.2,Alert
Burundi,2020,11th,97.9,8.3,7.9,7.6,8.5,7.3,5.9,9.1,7.9,9.1,9.2,8.5,8.5,Alert
Cameroon,2020,11th,97.9,8.2,9.3,8.6,6.8,7.7,7.6,8.9,8.3,7.8,8.8,8.6,7.3,Alert
Haiti,2020,13th,97.7,6.9,9.6,5.6,8.5,9.1,8.1,9.1,9.3,6.9,8.2,7.1,9.3,Alert
Nigeria,2020,14th,97.3,8.7,9.9,9.1,7.9,7.8,6.6,8.1,8.9,8.4,9.3,6.9,5.7,Alert
Guinea,2020,15th,97.2,8.3,9.6,9.2,8.3,7,6.8,9.9,9.2,6.8,8.3,7.3,6.5,Alert
Mali,2020,16th,96,9.5,5.7,8.4,7.3,7,8,7,8.8,7.7,8.6,8.4,9.6,Alert
Iraq,2020,17th,95.9,8.2,9.6,8.5,5.6,6.4,6.8,9.1,8.4,7.8,8.1,8.6,8.8,Alert
Eritrea,2020,18th,95.8,6.5,8.1,8,7.4,8.6,8.8,9.4,7.5,8.7,8.2,7.7,7,Alert
Niger,2020,19th,95.3,8.8,8.9,7.8,6.8,7.7,7.3,7,9.2,6.9,8.7,8.4,7.8,Alert
Libya,2020,20th,95.2,9.5,9.7,7.8,8,5.3,5.7,9.8,6.9,9.4,5.3,8,9.8,Alert
Ethiopia,2020,21st,94.6,7.9,8.9,9,6.1,6.2,6.3,8.5,8.3,7.9,9.1,8.8,7.6,Alert
Myanmar,2020,22nd,94,8.8,8,9.8,5,7,6.8,8,8.4,9.4,6.3,9.1,7.4,Alert
Guinea Bissau,2020,23rd,92.9,8,9.6,4.6,7.4,9.4,7.2,8.6,8.6,6.9,8.4,6.4,7.7,Alert
Uganda,2020,24th,92.8,7.2,8.9,8,6,6.8,7,8.3,7.3,7.7,9.2,8.8,7.6,Alert
Pakistan,2020,25th,92.1,8.2,9,9.1,7.1,5.6,6.5,7.6,7.7,7.1,7.9,7.8,8.5,Alert
Congo Republic,2020,25th,92.1,7.3,6.7,8.1,7.8,8.4,7.1,9.1,8.6,8.1,8,6.7,6.2,Alert
Mozambique,2020,27th,91.7,6.8,7.1,5.3,8.3,9.5,7.4,7.3,9.4,5.3,9.8,7.6,7.9,Alert
